year,naics,wage
1990,4248,31224.122008817536
1990,4249,23275.802044338154
1990,4251,32374.65298209589
1990,4411,26610.978456252185
1990,4412,19709.369637834036
1990,4413,18679.785017012713
1990,4421,19667.347842445524
1990,4422,17891.777867900822
1990,4431,25567.48069060418
1990,4441,19295.973261913026
1990,4442,16413.097548407044
1990,4451,13462.143017371583
1990,4452,16019.337927185821
1990,4453,13619.595670287685
1990,4461,16501.79344527989
1990,4471,11274.300955807417
1990,4481,11818.268314055198
1990,4482,11810.741190619363
1990,4483,17287.68649142215
1990,4511,12014.468589503384
1990,4512,11896.795621034285
1990,4521,12378.535807911529
1990,4529,12288.774707212271
1990,4531,10034.96673604373
1990,4532,14392.706281730652
1990,4533,12124.25231962816
1990,4539,18160.91801609223
1990,4541,19752.512355219376
1990,4542,16772.360787562127
1990,4543,19818.18113227365
1990,4811,35866.21220852499
1990,4812,27278.64202113556
1990,4821,32263.412171507607
1990,4831,42930.732588070896
1990,4832,30364.54199094562
1990,4841,25281.837942866747
1990,4842,22346.968232100047
1990,4851,23896.310575773106
1990,4852,23556.38534824031
1990,4853,13654.231610321869
1990,4854,11161.192057405877
1990,4855,15050.114118143136
1990,4859,14571.228114634965
1990,4861,45228.51241900648
1990,4862,40923.89013948204
1990,4869,41944.0285578296
1990,4871,16295.599363346975
1990,4872,14156.158633746154
1990,4879,19999.60338007911
1990,4881,22034.49414435701
1990,4882,25545.901962457338
1990,4883,29858.549474939544
1990,4884,18596.733330423205
1990,4885,29186.471563412924
1990,4889,19922.115064305293
1990,4911,16952.738948170732
1990,4921,25176.178763611973
1990,4922,15105.013513513513
1990,4931,23393.685065863945
1990,5111,26509.881768957777
1990,5112,45717.80135578152
1990,5121,29670.04232808203
1990,5122,33740.78210779098
1990,5151,31104.43453532313
1990,5152,28420.6451193944
1990,5161,27128.12239505135
1990,5171,37675.14578267213
1990,5172,31426.646636532838
1990,5173,36261.44771182498
1990,5174,40569.019494584834
1990,5175,23642.556453861165
1990,5179,38284.72186836518
1990,5181,33485.291121541995
1990,5182,29056.89205301895
1990,5191,22626.21010060012
1990,5211,29312.57014828092
1990,5221,24035.861021622026
1990,5222,30032.62595232161
1990,5223,30973.8499283097
1990,5231,63719.27163089606
1990,5232,45577.38456065457
1990,5239,55880.49749469385
1990,5241,30819.770622663542
1990,5242,29776.58079107174
1990,5251,32327.40203274059
1990,5259,39744.839816408494
1990,5311,18184.85987793718
1990,5312,25135.444893150892
1990,5313,23697.510651012155
1990,5321,20970.937451319645
1990,5322,12554.990813151791
1990,5323,25684.584309173468
1990,5324,29408.189997371188
1990,5331,36912.69488352745
1990,5411,39186.61590746728
1990,5412,28899.71463358585
1990,5413,36011.653372240165
1990,5414,27272.21804445988
1990,5415,41974.15140819548
1990,5416,38603.53725590385
1990,5417,39577.580590837795
1990,5418,32425.33037233504
1990,5419,18059.432691114373
1990,5511,39652.97792208045
1990,5611,37168.00783738175
1990,5612,26279.512426451216
1990,5613,13122.80172730169
1990,5614,19918.38523773231
1990,5615,19525.97115632022
1990,5616,12986.746384570655
1990,5617,12364.279280518253
1990,5619,18583.41695264396
1990,5621,25091.243010847033
1990,5622,31690.018136425537
1990,5629,27874.901611356672
1990,6111,16647.880321831817
1990,6112,19206.959929164208
1990,6113,23834.555370090457
1990,6114,20267.717466560483
1990,6115,18560.373638638976
1990,6116,12289.929802183096
1990,6117,25427.14514290924
1990,6211,47035.84504405159
1990,6212,22271.00705051967
1990,6213,21212.695633315012
1990,6214,27074.647034698308
1990,6215,28327.312849687678
1990,6216,13661.537309990747
1990,6219,18035.86323392129
1990,6221,23681.62001962029
1990,6222,21824.36612301371
1990,6223,26109.99272013078
1990,6231,12953.25920508419
1990,6232,13870.438050454255
1990,6233,12341.398189488431
1990,6239,15405.156356540463
1990,6241,14224.76252811242
1990,6242,14847.10936947267
1990,6243,13293.320275755721
1990,6244,9075.933229039654
1990,7111,11203.256682609786
1990,7112,31617.05694281133
1990,7113,19826.4221590484
1990,7114,46104.817020945266
1990,7115,78582.66828052688
1990,7121,15975.74881471648
1990,7131,13677.486765101574
1990,7132,13283.388231227858
1990,7139,11215.039452875364
1990,7211,13017.761697812637
1990,7212,11388.470721603315
1990,7213,9230.085446442294
1990,7221,8689.738048441595
1990,7222,7789.814757489453
1990,7223,9969.24578578244
1990,7224,7787.0614454216575
1990,8111,17803.93112000956
1990,8112,27800.95327211315
1990,8113,25187.85724844015
1990,8114,17684.01733066282
1990,8121,10824.248652122087
1990,8122,19533.04922400079
1990,8123,12929.987208691537
1990,8129,15244.58186624263
1990,8131,12958.97620284008
1990,8132,20341.838287727365
1990,8133,15702.3344214407
1990,8134,10410.869527690238
1990,8139,21457.25950879291
1990,8141,9326.506063216986
1991,1111,14755.24383206954
1991,1112,12343.766485303684
1991,1113,11057.056239015817
1991,1114,15461.448492436666
1991,1119,13847.561213792033
1991,1121,16777.091765014426
1991,1122,18459.998760842627
1991,1123,16903.698206501704
1991,1124,12457.446822742475
1991,1125,17448.866693354685
1991,1129,16057.054487766185
1991,1131,23562.486569579287
1991,1132,13318.170840289371
1991,1133,20392.29877810915
1991,1141,33760.95183856502
1991,1142,11937.04748908297
1991,1151,11238.687466033462
1991,1152,16759.096883532624
1991,1153,19062.476045561256
1991,2111,49668.808715354964
1991,2121,40668.71694417238
1991,2122,38580.07281495118
1991,2123,30113.3814970307
1991,2131,31856.51454446785
1991,2211,42915.15137211679
1991,2212,39865.868080242006
1991,2213,25501.57513144806
1991,2361,23214.16304017042
1991,2362,31092.85287400018
1991,2371,29347.236119718447
1991,2372,33581.7216340119
1991,2373,30920.549182914212
1991,2379,31222.787422691697
1991,2381,22248.87556473362
1991,2382,28833.399785502756
1991,2383,22613.567097549138
1991,2389,24593.127702020138
1991,3111,27675.47225286849
1991,3112,33799.00787842196
1991,3113,26222.537320969073
1991,3114,22915.421745211148
1991,3115,27575.514101507302
1991,3116,19233.33814832768
1991,3117,19730.41431764353
1991,3118,21862.017160711894
1991,3119,25987.56525217211
1991,3121,31362.793834809832
1991,3122,38992.25085815011
1991,3131,19661.901854516876
1991,3132,21563.01674603344
1991,3133,23545.304949575642
1991,3141,18020.1003820395
1991,3149,18142.131755981496
1991,3151,16736.935959179522
1991,3152,14836.311973995038
1991,3159,16738.589593515557
1991,3161,26088.214295230482
1991,3162,16208.999388268661
1991,3169,17518.215666065447
1991,3211,21681.178251426525
1991,3212,22966.80090167454
1991,3219,20487.65825388402
1991,3221,40500.93246875302
1991,3222,29006.103089115237
1991,3231,26295.812140212227
1991,3241,43219.13335748987
1991,3251,44573.74875284469
1991,3252,38860.94819631143
1991,3253,36662.867731679245
1991,3254,43402.30470071473
1991,3255,33938.79234607678
1991,3256,32227.316347270615
1991,3259,38064.729630931455
1991,3261,24196.243232540175
1991,3262,30381.094314363985
1991,3271,24102.27422675236
1991,3272,28954.27525036957
1991,3273,26992.373392016223
1991,3274,30326.23211764133
1991,3279,29297.809847384287
1991,3311,39378.647178578554
1991,3312,31686.468704198636
1991,3313,35313.844331674634
1991,3314,32313.00151484951
1991,3315,27987.005613600497
1991,3321,29042.406865430505
1991,3322,28041.458365536677
1991,3323,25746.88393783313
1991,3324,32008.10204235436
1991,3325,25353.581544788587
1991,3326,24498.577123668296
1991,3327,27308.52106991123
1991,3328,24472.292524486755
1991,3329,29790.74933225536
1991,3331,31696.7370822862
1991,3332,32882.65998441963
1991,3333,34976.919268530706
1991,3334,27117.67936262458
1991,3335,32741.577499326766
1991,3336,35640.594399277325
1991,3339,31278.17630272398
1991,3341,45091.11285954301
1991,3342,37057.209574875844
1991,3343,26514.14837531244
1991,3344,32283.398828189627
1991,3345,37868.62624752456
1991,3346,34973.725559594415
1991,3351,25706.683255874
1991,3352,25417.910116781284
1991,3353,28447.14730268942
1991,3359,28439.68384861869
1991,3361,45436.79395954489
1991,3362,25657.660757982692
1991,3363,33390.16966145251
1991,3364,40308.60855692856
1991,3365,30107.421094978607
1991,3366,27788.525650675183
1991,3369,31695.246382845842
1991,3371,18818.241987835925
1991,3372,24614.526979571572
1991,3379,21047.193395597063
1991,3391,27288.77003931063
1991,3399,22656.689881916755
1991,4231,27334.138329685007
1991,4232,29763.65082998727
1991,4233,29164.96440219738
1991,4234,41472.447157741786
1991,4235,33838.65182412123
1991,4236,35793.69654960917
1991,4237,30086.66507064855
1991,4238,31177.091856220923
1991,4239,26958.681659679332
1991,4241,30628.55429753841
1991,4242,38742.830996444354
1991,4243,33614.741083553985
1991,4244,27633.8622923061
1991,4245,18839.058025118375
1991,4246,38761.686853424224
1991,4247,29506.719694641673
1991,4248,32601.034540235207
1991,4249,24360.99440760674
