year,sic,wage
1975,2111,12206.21363318472
1975,2121,6754.273689782954
1975,2131,10281.648389904265
1975,2141,7560.311724246976
1975,2211,7684.2773092983625
1975,2221,8050.40218628128
1975,2231,8550.259349893804
1975,2241,7982.657252779774
1975,2251,6323.91376654406
1975,2252,5938.653635911876
1975,2253,7538.880717567528
1975,2254,6555.244922530972
1975,2257,8738.01821222256
1975,2258,9413.894775268082
1975,2259,8024.0100663953735
1975,2261,8996.360211335787
1975,2262,9799.142138895197
1975,2269,8787.275198260424
1975,2271,9202.038156947445
1975,2272,8856.116154701805
1975,2279,6773.875359539789
1975,2281,7008.732542836172
1975,2282,7291.286665766617
1975,2283,7687.668128654971
1975,2284,7958.590059005901
1975,2291,10380.932737535277
1975,2292,8305.24081237911
1975,2293,9607.844045676999
1975,2294,8549.826947435085
1975,2295,11665.597420464317
1975,2296,7853.674892421182
1975,2297,11035.258992805755
1975,2298,7910.316078511136
1975,2299,9260.139825218477
1975,2311,7558.1523495070205
1975,2321,5744.754938571268
1975,2322,5915.570186262413
1975,2323,8574.570518794657
1975,2327,6007.453892626497
1975,2328,5805.0958254066645
1975,2329,6384.0414327462895
1975,2331,6380.595913711679
1975,2335,6515.364076785137
1975,2337,7611.38387422384
1975,2339,6336.334948358384
1975,2341,5989.312469908522
1975,2342,7533.379769374258
1975,2351,7450.361869031378
1975,2352,6320.935350421804
1975,2361,6344.359603664856
1975,2363,6482.884395813511
1975,2369,6136.892794428406
1975,2371,10998.149595687331
1975,2381,5675.638614259304
1975,2384,6335.626576865512
1975,2385,7183.58837305414
1975,2386,8052.0994585351955
1975,2387,7251.974282433984
1975,2389,6676.681898689338
1975,2391,6559.587260858081
1975,2392,7112.538842169409
1975,2393,7550.30666113875
1975,2394,7992.4273692191055
1975,2395,7465.566739606127
1975,2396,11263.523508981589
1975,2397,8573.110094541018
1975,2399,7386.232805883664
1975,2411,9342.113965915281
1975,2421,9615.156708964869
1975,2426,7187.2254156315685
1975,2429,8465.638000973551
1975,2431,9744.928151576789
1975,2434,8798.824637505308
1975,2435,8704.410918305988
1975,2436,11592.258877376522
1975,2439,9498.570319059614
1975,2441,8157.744678856071
1975,2448,6791.551724137931
1975,2449,6947.201280227596
1975,2451,9365.642596976872
1975,2452,10223.827698105308
1975,2491,9173.906157418529
1975,2492,10177.550715488216
1975,2499,8074.454280917739
1975,2511,7214.488835917686
1975,2512,8082.240147710137
1975,2514,8358.43544600939
1975,2515,9398.468444882496
1975,2517,7273.726706063305
1975,2519,7829.075585521647
1975,2521,8376.868717856176
1975,2522,10989.286091306574
1975,2531,9348.666666666666
1975,2541,10907.449642164902
1975,2542,10266.17173356106
1975,2591,9223.688727385186
1975,2599,10362.653121381198
1975,2611,14426.892274062437
1975,2621,13841.67091203772
1975,2631,14063.612366024214
1975,2641,13295.963278084007
1975,2642,10616.99493580916
1975,2643,10563.577521864554
1975,2645,10950.218924496237
1975,2646,10975.71984784068
1975,2647,12213.45675889328
1975,2648,9712.190019534719
1975,2649,9883.659952154769
1975,2651,11346.198940436698
1975,2652,8158.675315622338
1975,2653,12076.206884092624
1975,2654,10435.297044981096
1975,2655,10676.180236758739
1975,2661,11519.75575913902
1975,2711,10430.82595427565
1975,2721,12955.987688618552
1975,2731,11091.527686667952
1975,2732,11108.89528362254
1975,2741,9958.122948248823
1975,2751,10934.666924586349
1975,2752,12078.172409035833
1975,2753,11648.0033252449
1975,2754,14337.818034220058
1975,2761,11456.212069312916
1975,2771,9576.335710095222
1975,2782,9789.23564616271
1975,2789,9159.479136373651
1975,2791,12341.058345995225
1975,2793,14867.600636027903
1975,2794,12868.827188940093
1975,2795,14718.369459271293
1975,2812,15645.202540163176
1975,2813,14093.351688102894
1975,2816,13705.854931412368
1975,2819,14546.46707821009
1975,2821,14517.375852736865
1975,2822,14698.832483110436
1975,2823,13392.75493849421
1975,2824,14103.228293382079
1975,2831,14788.363316506042
1975,2833,16087.650826839004
1975,2834,13825.706410564948
1975,2841,15035.939843893722
1975,2842,12284.80140553653
1975,2843,13457.496268037818
1975,2844,12390.92134148896
1975,2851,12446.672124694955
1975,2861,10321.968333621733
1975,2865,14831.41470513794
1975,2869,16775.767997980394
1975,2873,13856.309129133986
1975,2874,13185.856961704287
1975,2875,10959.009814763616
1975,2879,13221.736136581958
1975,2891,12684.616439314446
1975,2892,13283.104159878354
1975,2893,13731.092968545787
1975,2895,15009.55850307911
1975,2899,13519.63034067911
1975,2911,17338.638530840322
1975,2951,13727.769528728211
1975,2952,12043.56963606427
1975,2992,13120.963052989791
1975,2999,11029.169258920403
1975,3011,13083.153957449607
1975,3021,6898.317316859246
1975,3031,10854.905562742562
1975,3041,11214.268649136666
1975,3069,9825.884248577142
1975,3079,9721.2569856067
1975,3111,10172.428500136104
1975,3131,7375.4824570429055
1975,3142,6740.540002165205
1975,3143,6775.971928163155
1975,3144,6600.856874251315
1975,3149,6668.262242328141
1975,3151,6058.523277909739
1975,3161,7673.012123115578
1975,3171,6741.647314870233
1975,3172,7456.858845725066
1975,3199,7720.161805305485
1975,3211,14138.021947953659
1975,3221,11821.76788661295
1975,3229,11902.854320535142
1975,3231,11576.707208336817
1975,3241,14731.833021666236
1975,3251,8878.211242338168
1975,3253,9154.392184893972
1975,3255,11559.230533093742
1975,3259,10175.45982350209
1975,3261,10640.029515938606
1975,3262,8667.358598726114
1975,3263,7690.32503113325
1975,3264,10769.874229930812
1975,3269,7478.190044926193
1975,3271,10781.320645446507
1975,3272,10750.648886595121
1975,3273,12110.846141794911
1975,3274,11675.585951661631
1975,3275,12574.333104709647
1975,3281,9128.412625218636
1975,3291,11748.911521613356
1975,3292,11268.693109902844
1975,3293,10124.200974675108
1975,3295,11924.795256700254
1975,3296,11946.402900646479
1975,3297,12984.461507578038
1975,3299,8316.665095229115
1975,3312,16101.567762332643
1975,3313,13692.360448618336
1975,3315,12514.441279669763
1975,3316,14014.70997120865
1975,3317,13527.184669238462
1975,3321,12502.566057044995
1975,3322,12557.542974144088
1975,3324,11191.350654664484
1975,3325,12144.04003467431
1975,3331,14258.176549692624
1975,3332,14437.952258064515
1975,3333,12648.85582524272
1975,3334,16350.793427066252
1975,3339,15227.04916593503
1975,3341,12563.265254007063
1975,3351,12868.296374978925
1975,3353,14957.167686701809
1975,3354,14116.02238998343
1975,3355,14115.789686767526
1975,3356,13521.193957564576
1975,3357,12285.505153701177
1975,3361,11267.131809281147
1975,3362,11228.333722101468
1975,3369,10777.997990622907
1975,3398,12059.80198302984
1975,3399,12617.239475583354
1975,3411,15102.530516923905
1975,3412,11981.079711944376
1975,3421,10978.35474472808
1975,3423,10794.879001001611
1975,3425,10911.606420591146
1975,3429,11101.335232845999
1975,3431,11196.147313321226
1975,3432,10333.7694710037
1975,3433,10996.807788173248
1975,3441,12354.02560775809
1975,3442,9802.089331441088
1975,3443,13054.657142087868
1975,3444,11811.596786478547
1975,3446,10815.590371961864
1975,3448,11743.899812574544
1975,3449,11928.63703143567
1975,3451,11293.821569567102
1975,3452,12102.04624453087
1975,3462,13563.772821557022
